bin,py_i,py_q,rtl_i,rtl_q,py_mag,rtl_mag,diff_i,diff_q
0,1,-1,1,-1,2,2,0,0
1,0,-1,0,-1,1,1,0,0
2,-1,-2,-1,-2,3,3,0,0
3,-2,-2,-2,-2,4,4,0,0
4,-2,-2,-2,-2,4,4,0,0
5,-1,-2,-1,-2,3,3,0,0
6,0,-4,0,-4,4,4,0,0
7,-1,-4,-1,-4,5,5,0,0
8,-2,-4,-2,-4,6,6,0,0
9,-1,-3,-1,-3,4,4,0,0
10,2,-3,2,-3,5,5,0,0
11,1,-4,1,-4,5,5,0,0
12,2,-3,2,-3,5,5,0,0
13,1,-4,1,-4,5,5,0,0
14,2,-3,2,-3,5,5,0,0
15,2,-2,2,-2,4,4,0,0
16,3,-3,3,-3,6,6,0,0
17,1,-3,1,-3,4,4,0,0
18,2,-1,2,-1,3,3,0,0
19,2,-2,2,-2,4,4,0,0
20,3,-2,3,-2,5,5,0,0
21,5,-1,5,-1,6,6,0,0
22,4,-1,4,-1,5,5,0,0
23,4,0,4,0,4,4,0,0
24,4,-1,4,-1,5,5,0,0
25,2,0,2,0,2,2,0,0
26,2,1,2,1,3,3,0,0
27,3,1,3,1,4,4,0,0
28,2,2,2,2,4,4,0,0
29,1,2,1,2,3,3,0,0
30,1,2,1,2,3,3,0,0
31,0,2,0,2,2,2,0,0
32,0,2,0,2,2,2,0,0
33,0,2,0,2,2,2,0,0
34,-1,1,-1,1,2,2,0,0
35,-2,2,-2,2,4,4,0,0
36,-2,2,-2,2,4,4,0,0
37,-1,1,-1,1,2,2,0,0
38,-2,0,-2,0,2,2,0,0
39,-3,-1,-3,-1,4,4,0,0
40,-3,1,-3,1,4,4,0,0
41,-3,1,-3,1,4,4,0,0
42,-2,0,-2,0,2,2,0,0
43,-2,0,-2,0,2,2,0,0
44,-3,-1,-3,-1,4,4,0,0
45,-3,-2,-3,-2,5,5,0,0
46,-3,-3,-3,-3,6,6,0,0
47,-3,-3,-3,-3,6,6,0,0
48,-2,-3,-2,-3,5,5,0,0
49,-4,-4,-4,-4,8,8,0,0
50,-4,-4,-4,-4,8,8,0,0
51,-3,-4,-3,-4,7,7,0,0
52,-3,-3,-3,-3,6,6,0,0
53,-2,-3,-2,-3,5,5,0,0
54,0,-4,0,-4,4,4,0,0
55,1,-4,1,-4,5,5,0,0
56,1,-4,1,-4,5,5,0,0
57,2,-4,2,-4,6,6,0,0
58,1,-4,1,-4,5,5,0,0
59,2,-4,2,-4,6,6,0,0
60,1,-3,1,-3,4,4,0,0
61,2,-2,2,-2,4,4,0,0
62,2,-2,2,-2,4,4,0,0
63,2,-2,2,-2,4,4,0,0
64,2,-2,2,-2,4,4,0,0
65,2,-2,2,-2,4,4,0,0
66,2,-1,2,-1,3,3,0,0
67,2,0,2,0,2,2,0,0
68,2,0,2,0,2,2,0,0
69,2,0,2,0,2,2,0,0
70,2,-1,2,-1,3,3,0,0
71,1,0,1,0,1,1,0,0
72,1,1,1,1,2,2,0,0
73,1,1,1,1,2,2,0,0
74,1,2,1,2,3,3,0,0
75,0,2,0,2,2,2,0,0
76,0,3,0,3,3,3,0,0
77,-1,2,-1,2,3,3,0,0
78,-2,2,-2,2,4,4,0,0
79,0,2,0,2,2,2,0,0
80,-1,1,-1,1,2,2,0,0
81,-3,0,-3,0,3,3,0,0
82,-4,1,-4,1,5,5,0,0
83,-3,1,-3,1,4,4,0,0
84,-3,0,-3,0,3,3,0,0
85,-4,-1,-4,-1,5,5,0,0
86,-2,-1,-2,-1,3,3,0,0
87,-3,0,-3,0,3,3,0,0
88,-4,-1,-4,-1,5,5,0,0
89,-3,-1,-3,-1,4,4,0,0
90,-3,-1,-3,-1,4,4,0,0
91,-2,-3,-2,-3,5,5,0,0
92,-3,-1,-3,-1,4,4,0,0
93,-3,-2,-3,-2,5,5,0,0
