bin,py_i,py_q,rtl_i,rtl_q,py_mag,rtl_mag,diff_i,diff_q
0,31217,0,31217,0,31217,31217,0,0
1,31214,479,31214,479,31693,31693,0,0
2,31201,957,31201,957,32158,32158,0,0
3,31184,1436,31184,1436,32620,32620,0,0
4,31158,1914,31158,1914,33072,33072,0,0
5,31124,2392,31124,2392,33516,33516,0,0
6,31084,2868,31084,2868,33952,33952,0,0
7,31036,3345,31036,3345,34381,34381,0,0
8,30981,3821,30981,3821,34802,34802,0,0
9,30920,4296,30920,4296,35216,35216,0,0
10,30851,4769,30851,4769,35620,35620,0,0
11,30773,5243,30773,5243,36016,36016,0,0
12,30689,5714,30689,5714,36403,36403,0,0
13,30598,6184,30598,6184,36782,36782,0,0
14,30500,6652,30500,6652,37152,37152,0,0
15,30393,7120,30393,7120,37513,37513,0,0
16,30281,7586,30281,7586,37867,37867,0,0
17,30161,8048,30161,8048,38209,38209,0,0
18,30034,8510,30034,8510,38544,38544,0,0
19,29899,8970,29899,8970,38869,38869,0,0
20,29758,9427,29758,9427,39185,39185,0,0
21,29611,9883,29611,9883,39494,39494,0,0
22,29456,10336,29456,10336,39792,39792,0,0
23,29293,10786,29293,10786,40079,40079,0,0
24,29124,11234,29124,11234,40358,40358,0,0
25,28949,11680,28949,11680,40629,40629,0,0
26,28766,12122,28766,12122,40888,40888,0,0
27,28578,12562,28578,12562,41140,41140,0,0
28,28381,12999,28381,12999,41380,41380,0,0
29,28178,13433,28178,13433,41611,41611,0,0
30,27968,13864,27968,13864,41832,41832,0,0
31,27752,14292,27752,14292,42044,42044,0,0
32,27530,14715,27530,14715,42245,42245,0,0
33,27302,15136,27302,15136,42438,42438,0,0
34,27066,15554,27066,15554,42620,42620,0,0
35,26824,15966,26824,15966,42790,42790,0,0
36,26576,16376,26576,16376,42952,42952,0,0
37,26322,16782,26322,16782,43104,43104,0,0
38,26062,17182,26062,17182,43244,43244,0,0
39,25795,17580,25795,17580,43375,43375,0,0
40,25522,17974,25522,17974,43496,43496,0,0
41,25243,18364,25243,18364,43607,43607,0,0
42,24958,18749,24958,18749,43707,43707,0,0
43,24668,19129,24668,19129,43797,43797,0,0
44,24372,19506,24372,19506,43878,43878,0,0
45,24070,19876,24070,19876,43946,43946,0,0
46,23762,20244,23762,20244,44006,44006,0,0
47,23449,20606,23449,20606,44055,44055,0,0
48,23130,20963,23130,20963,44093,44093,0,0
49,22805,21315,22805,21315,44120,44120,0,0
50,22476,21664,22476,21664,44140,44140,0,0
51,22141,22006,22141,22006,44147,44147,0,0
52,21802,22342,21802,22342,44144,44144,0,0
53,21455,22675,21455,22675,44130,44130,0,0
54,21105,23000,21105,23000,44105,44105,0,0
55,20750,23322,20750,23322,44072,44072,0,0
56,20390,23638,20390,23638,44028,44028,0,0
57,20024,23946,20024,23946,43970,43970,0,0
58,19655,24252,19655,24252,43907,43907,0,0
59,19281,24550,19281,24550,43831,43831,0,0
60,18902,24843,18902,24843,43745,43745,0,0
61,18519,25130,18519,25130,43649,43649,0,0
62,18130,25411,18130,25411,43541,43541,0,0
63,17738,25687,17738,25687,43425,43425,0,0
64,17342,25956,17342,25956,43298,43298,0,0
65,16944,26218,16944,26218,43162,43162,0,0
66,16538,26476,16538,26476,43014,43014,0,0
67,16130,26726,16130,26726,42856,42856,0,0
68,15719,26970,15719,26970,42689,42689,0,0
69,15303,27209,15303,27209,42512,42512,0,0
70,14884,27439,14884,27439,42323,42323,0,0
71,14461,27664,14461,27664,42125,42125,0,0
72,14035,27883,14035,27883,41918,41918,0,0
73,13606,28095,13606,28095,41701,41701,0,0
74,13173,28300,13173,28300,41473,41473,0,0
75,12738,28499,12738,28499,41237,41237,0,0
76,12298,28692,12298,28692,40990,40990,0,0
77,11858,28877,11858,28877,40735,40735,0,0
78,11413,29056,11413,29056,40469,40469,0,0
79,10966,29226,10966,29226,40192,40192,0,0
80,10516,29392,10516,29392,39908,39908,0,0
81,10064,29549,10064,29549,39613,39613,0,0
82,9610,29700,9610,29700,39310,39310,0,0
83,9152,29844,9152,29844,38996,38996,0,0
84,8695,29981,8695,29981,38676,38676,0,0
85,8233,30111,8233,30111,38344,38344,0,0
86,7771,30234,7771,30234,38005,38005,0,0
87,7306,30350,7306,30350,37656,37656,0,0
88,6840,30458,6840,30458,37298,37298,0,0
89,6371,30559,6371,30559,36930,36930,0,0
90,5902,30653,5902,30653,36555,36555,0,0
91,5430,30740,5430,30740,36170,36170,0,0
92,4959,30820,4959,30820,35779,35779,0,0
93,4485,30892,4485,30892,35377,35377,0,0
94,4012,30958,4012,30958,34970,34970,0,0
95,3535,31016,3535,31016,34551,34551,0,0
96,3059,31066,3059,31066,34125,34125,0,0
97,2583,31110,2583,31110,33693,33693,0,0
98,2106,31145,2106,31145,33251,33251,0,0
99,1627,31174,1627,31174,32801,32801,0,0
100,1148,31196,1148,31196,32344,32344,0,0
101,669,31209,669,31209,31878,31878,0,0
102,192,31216,192,31216,31408,31408,0,0
103,-288,31216,-288,31216,31504,31504,0,0
104,-766,31207,-766,31207,31973,31973,0,0
105,-1245,31192,-1245,31192,32437,32437,0,0
106,-1723,31170,-1723,31170,32893,32893,0,0
107,-2202,31138,-2202,31138,33340,33340,0,0
108,-2678,31102,-2678,31102,33780,33780,0,0
109,-3155,31056,-3155,31056,34211,34211,0,0
110,-3632,31005,-3632,31005,34637,34637,0,0
111,-4107,30945,-4107,30945,35052,35052,0,0
112,-4580,30879,-4580,30879,35459,35459,0,0
113,-5053,30805,-5053,30805,35858,35858,0,0
114,-5526,30724,-5526,30724,36250,36250,0,0
115,-5996,30636,-5996,30636,36632,36632,0,0
116,-6466,30540,-6466,30540,37006,37006,0,0
117,-6934,30438,-6934,30438,37372,37372,0,0
118,-7400,30327,-7400,30327,37727,37727,0,0
119,-7864,30209,-7864,30209,38073,38073,0,0
120,-8326,30085,-8326,30085,38411,38411,0,0
121,-8786,29954,-8786,29954,38740,38740,0,0
122,-9246,29816,-9246,29816,39062,39062,0,0
123,-9702,29671,-9702,29671,39373,39373,0,0
124,-10156,29518,-10156,29518,39674,39674,0,0
125,-10607,29360,-10607,29360,39967,39967,0,0
126,-11056,29192,-11056,29192,40248,40248,0,0
127,-11502,29020,-11502,29020,40522,40522,0,0
128,-11946,28841,-11946,28841,40787,40787,0,0
129,-12388,28654,-12388,28654,41042,41042,0,0
130,-12826,28460,-12826,28460,41286,41286,0,0
131,-13260,28260,-13260,28260,41520,41520,0,0
132,-13693,28054,-13693,28054,41747,41747,0,0
133,-14120,27840,-14120,27840,41960,41960,0,0
134,-14546,27620,-14546,27620,42166,42166,0,0
135,-14968,27394,-14968,27394,42362,42362,0,0
136,-15388,27160,-15388,27160,42548,42548,0,0
137,-15802,26922,-15802,26922,42724,42724,0,0
138,-16213,26677,-16213,26677,42890,42890,0,0
139,-16620,26424,-16620,26424,43044,43044,0,0
140,-17024,26166,-17024,26166,43190,43190,0,0
141,-17422,25903,-17422,25903,43325,43325,0,0
142,-17818,25632,-17818,25632,43450,43450,0,0
143,-18210,25355,-18210,25355,43565,43565,0,0
144,-18597,25072,-18597,25072,43669,43669,0,0
145,-18978,24786,-18978,24786,43764,43764,0,0
146,-19356,24491,-19356,24491,43847,43847,0,0
147,-19730,24191,-19730,24191,43921,43921,0,0
148,-20098,23886,-20098,23886,43984,43984,0,0
149,-20462,23576,-20462,23576,44038,44038,0,0
150,-20822,23258,-20822,23258,44080,44080,0,0
151,-21176,22935,-21176,22935,44111,44111,0,0
152,-21526,22608,-21526,22608,44134,44134,0,0
153,-21870,22276,-21870,22276,44146,44146,0,0
154,-22208,21937,-22208,21937,44145,44145,0,0
155,-22542,21594,-22542,21594,44136,44136,0,0
156,-22871,21246,-22871,21246,44117,44117,0,0
157,-23196,20893,-23196,20893,44089,44089,0,0
158,-23512,20534,-23512,20534,44046,44046,0,0
159,-23825,20170,-23825,20170,43995,43995,0,0
160,-24130,19804,-24130,19804,43934,43934,0,0
161,-24432,19431,-24432,19431,43863,43863,0,0
162,-24728,19054,-24728,19054,43782,43782,0,0
163,-25018,18673,-25018,18673,43691,43691,0,0
164,-25300,18286,-25300,18286,43586,43586,0,0
165,-25578,17897,-25578,17897,43475,43475,0,0
166,-25849,17502,-25849,17502,43351,43351,0,0
167,-26114,17104,-26114,17104,43218,43218,0,0
168,-26374,16700,-26374,16700,43074,43074,0,0
169,-26627,16294,-26627,16294,42921,42921,0,0
170,-26874,15884,-26874,15884,42758,42758,0,0
171,-27114,15470,-27114,15470,42584,42584,0,0
172,-27348,15052,-27348,15052,42400,42400,0,0
173,-27576,14630,-27576,14630,42206,42206,0,0
174,-27796,14206,-27796,14206,42002,42002,0,0
175,-28012,13778,-28012,13778,41790,41790,0,0
176,-28220,13346,-28220,13346,41566,41566,0,0
177,-28421,12912,-28421,12912,41333,41333,0,0
178,-28616,12474,-28616,12474,41090,41090,0,0
179,-28804,12034,-28804,12034,40838,40838,0,0
180,-28984,11592,-28984,11592,40576,40576,0,0
181,-29160,11144,-29160,11144,40304,40304,0,0
182,-29327,10696,-29327,10696,40023,40023,0,0
183,-29488,10245,-29488,10245,39733,39733,0,0
184,-29640,9792,-29640,9792,39432,39432,0,0
185,-29788,9336,-29788,9336,39124,39124,0,0
186,-29928,8877,-29928,8877,38805,38805,0,0
187,-30060,8418,-30060,8418,38478,38478,0,0
188,-30186,7956,-30186,7956,38142,38142,0,0
189,-30304,7492,-30304,7492,37796,37796,0,0
190,-30416,7026,-30416,7026,37442,37442,0,0
191,-30520,6558,-30520,6558,37078,37078,0,0
192,-30618,6090,-30618,6090,36708,36708,0,0
193,-30707,5620,-30707,5620,36327,36327,0,0
194,-30790,5148,-30790,5148,35938,35938,0,0
195,-30864,4674,-30864,4674,35538,35538,0,0
196,-30932,4201,-30932,4201,35133,35133,0,0
197,-30994,3726,-30994,3726,34720,34720,0,0
198,-31048,3250,-31048,3250,34298,34298,0,0
199,-31093,2774,-31093,2774,33867,33867,0,0
200,-31132,2296,-31132,2296,33428,33428,0,0
201,-31164,1818,-31164,1818,32982,32982,0,0
202,-31190,1340,-31190,1340,32530,32530,0,0
203,-31205,862,-31205,862,32067,32067,0,0
204,-31215,382,-31215,382,31597,31597,0,0
205,-31216,-96,-31216,-96,31312,31312,0,0
206,-31212,-574,-31212,-574,31786,31786,0,0
207,-31198,-1054,-31198,-1054,32252,32252,0,0
208,-31180,-1532,-31180,-1532,32712,32712,0,0
209,-31152,-2010,-31152,-2010,33162,33162,0,0
210,-31116,-2488,-31116,-2488,33604,33604,0,0
211,-31076,-2965,-31076,-2965,34041,34041,0,0
212,-31026,-3441,-31026,-3441,34467,34467,0,0
213,-30970,-3918,-30970,-3918,34888,34888,0,0
