range_bin,doppler_bin,out_i,out_q
0,0,-1,0
0,1,1,0
0,2,-1,0
0,3,1,0
0,4,-1,0
0,5,1,0
0,6,-1,0
0,7,1,0
0,8,-1,0
0,9,1,0
0,10,-1,0
0,11,1,0
0,12,-1,0
0,13,1,0
0,14,-1,0
0,15,1,0
0,16,-2,-3
0,17,-1,1
0,18,-1,-2
0,19,1,0
0,20,1,-1
0,21,-1,1
0,22,0,0
0,23,1,2
0,24,0,-3
0,25,-1,1
0,26,-1,0
0,27,1,0
0,28,1,-1
0,29,-1,1
0,30,2,2
0,31,1,2
0,32,0,-2
0,33,-2,-1
0,34,-1,0
0,35,1,-1
0,36,-1,-1
0,37,0,0
0,38,-1,1
0,39,1,0
0,40,0,0
0,41,-2,-1
0,42,1,2
0,43,1,-1
0,44,1,-1
0,45,0,2
0,46,1,1
0,47,1,2
1,0,-2,-1
1,1,1,1
1,2,0,-1
1,3,1,1
1,4,-2,-1
1,5,1,1
1,6,0,-1
1,7,1,1
1,8,-2,-1
1,9,1,1
1,10,0,-1
1,11,1,1
1,12,-2,-1
1,13,1,1
1,14,0,-1
1,15,1,1
1,16,-2,0
1,17,0,0
1,18,1,-1
1,19,0,0
1,20,0,0
1,21,0,0
1,22,1,1
1,23,0,0
1,24,-2,0
1,25,0,0
1,26,1,-1
1,27,0,0
1,28,0,0
1,29,0,0
1,30,1,1
1,31,0,0
1,32,-1,-2
1,33,0,0
1,34,-1,-1
1,35,-2,-1
1,36,1,-1
1,37,-1,0
1,38,0,-1
1,39,0,-2
1,40,1,2
1,41,0,0
1,42,1,1
1,43,2,1
1,44,-1,1
1,45,1,0
1,46,0,1
1,47,0,2
2,0,-1,-1
2,1,0,-3
2,2,-1,0
2,3,-1,0
2,4,0,-1
2,5,-1,0
2,6,-1,-1
2,7,1,-2
2,8,1,1
2,9,0,1
2,10,1,0
2,11,1,2
2,12,0,1
2,13,1,-2
2,14,1,1
2,15,-1,4
2,16,-1,0
2,17,0,-1
2,18,-1,0
2,19,0,-1
2,20,0,0
2,21,-1,-1
