bin,out_i,out_q
0,31217,0
1,31214,479
2,31201,957
3,31184,1436
4,31158,1914
5,31124,2392
6,31084,2868
7,31036,3345
8,30981,3821
9,30920,4296
10,30851,4769
11,30773,5243
12,30689,5714
13,30598,6184
14,30500,6652
15,30393,7120
16,30281,7586
17,30161,8048
18,30034,8510
19,29899,8970
20,29758,9427
21,29611,9883
22,29456,10336
23,29293,10786
24,29124,11234
25,28949,11680
26,28766,12122
27,28578,12562
28,28381,12999
29,28178,13433
30,27968,13864
31,27752,14292
32,27530,14715
33,27302,15136
34,27066,15554
35,26824,15966
36,26576,16376
37,26322,16782
38,26062,17182
39,25795,17580
40,25522,17974
41,25243,18364
42,24958,18749
43,24668,19129
44,24372,19506
45,24070,19876
46,23762,20244
47,23449,20606
48,23130,20963
49,22805,21315
50,22476,21664
51,22141,22006
52,21802,22342
53,21455,22675
54,21105,23000
55,20750,23322
56,20390,23638
57,20024,23946
58,19655,24252
59,19281,24550
60,18902,24843
61,18519,25130
62,18130,25411
63,17738,25687
64,17342,25956
65,16944,26218
66,16538,26476
67,16130,26726
68,15719,26970
69,15303,27209
70,14884,27439
71,14461,27664
72,14035,27883
73,13606,28095
74,13173,28300
75,12738,28499
76,12298,28692
77,11858,28877
78,11413,29056
79,10966,29226
80,10516,29392
81,10064,29549
82,9610,29700
83,9152,29844
84,8695,29981
85,8233,30111
86,7771,30234
87,7306,30350
88,6840,30458
89,6371,30559
90,5902,30653
91,5430,30740
92,4959,30820
93,4485,30892
94,4012,30958
95,3535,31016
96,3059,31066
97,2583,31110
98,2106,31145
99,1627,31174
100,1148,31196
101,669,31209
102,192,31216
103,-288,31216
104,-766,31207
105,-1245,31192
106,-1723,31170
107,-2202,31138
108,-2678,31102
109,-3155,31056
110,-3632,31005
111,-4107,30945
112,-4580,30879
113,-5053,30805
114,-5526,30724
115,-5996,30636
116,-6466,30540
117,-6934,30438
118,-7400,30327
119,-7864,30209
120,-8326,30085
121,-8786,29954
122,-9246,29816
123,-9702,29671
124,-10156,29518
125,-10607,29360
126,-11056,29192
127,-11502,29020
128,-11946,28841
129,-12388,28654
130,-12826,28460
131,-13260,28260
132,-13693,28054
133,-14120,27840
134,-14546,27620
135,-14968,27394
136,-15388,27160
137,-15802,26922
138,-16213,26677
139,-16620,26424
140,-17024,26166
141,-17422,25903
142,-17818,25632
143,-18210,25355
144,-18597,25072
145,-18978,24786
146,-19356,24491
147,-19730,24191
148,-20098,23886
149,-20462,23576
150,-20822,23258
151,-21176,22935
152,-21526,22608
153,-21870,22276
154,-22208,21937
155,-22542,21594
156,-22871,21246
157,-23196,20893
158,-23512,20534
159,-23825,20170
160,-24130,19804
161,-24432,19431
162,-24728,19054
163,-25018,18673
164,-25300,18286
165,-25578,17897
166,-25849,17502
167,-26114,17104
168,-26374,16700
169,-26627,16294
170,-26874,15884
171,-27114,15470
172,-27348,15052
173,-27576,14630
174,-27796,14206
175,-28012,13778
176,-28220,13346
177,-28421,12912
178,-28616,12474
179,-28804,12034
180,-28984,11592
181,-29160,11144
182,-29327,10696
183,-29488,10245
184,-29640,9792
185,-29788,9336
186,-29928,8877
187,-30060,8418
188,-30186,7956
189,-30304,7492
190,-30416,7026
191,-30520,6558
192,-30618,6090
193,-30707,5620
194,-30790,5148
195,-30864,4674
196,-30932,4201
197,-30994,3726
198,-31048,3250
199,-31093,2774
200,-31132,2296
201,-31164,1818
202,-31190,1340
203,-31205,862
204,-31215,382
205,-31216,-96
206,-31212,-574
207,-31198,-1054
208,-31180,-1532
209,-31152,-2010
210,-31116,-2488
211,-31076,-2965
212,-31026,-3441
213,-30970,-3918
214,-30906,-4390
215,-30836,-4865
216,-30758,-5338
217,-30672,-5808
218,-30579,-6278
219,-30480,-6746
220,-30372,-7214
221,-30258,-7678
222,-30137,-8142
223,-30008,-8602
224,-29872,-9062
225,-29730,-9519
226,-29580,-9974
227,-29425,-10426
228,-29261,-10877
229,-29090,-11324
230,-28913,-11770
231,-28730,-12211
232,-28538,-12651
233,-28342,-13087
234,-28138,-13520
235,-27926,-13950
236,-27710,-14376
237,-27486,-14800
238,-27256,-15221
239,-27018,-15637
240,-26776,-16048
241,-26526,-16457
242,-26271,-16864
243,-26009,-17264
244,-25741,-17660
245,-25468,-18054
246,-25188,-18442
247,-24902,-18826
248,-24610,-19206
249,-24312,-19582
250,-24008,-19952
251,-23700,-20318
252,-23386,-20680
253,-23066,-21036
254,-22740,-21386
255,-22410,-21734
256,-22074,-22074
257,-21734,-22410
258,-21386,-22740
259,-21036,-23066
260,-20679,-23386
261,-20318,-23700
262,-19952,-24008
263,-19582,-24312
264,-19206,-24610
265,-18826,-24902
266,-18442,-25188
267,-18054,-25468
268,-17660,-25741
269,-17264,-26009
270,-16864,-26271
271,-16457,-26526
272,-16048,-26776
273,-15636,-27018
274,-15221,-27256
275,-14800,-27485
276,-14376,-27710
277,-13950,-27926
278,-13520,-28138
279,-13087,-28342
280,-12651,-28538
281,-12211,-28730
282,-11770,-28913
283,-11324,-29090
284,-10876,-29260
285,-10426,-29425
286,-9974,-29580
287,-9519,-29730
288,-9062,-29872
289,-8602,-30008
290,-8141,-30136
291,-7678,-30258
292,-7214,-30372
293,-6746,-30480
294,-6278,-30579
295,-5808,-30672
296,-5337,-30757
297,-4865,-30836
298,-4390,-30906
299,-3918,-30970
300,-3441,-31026
301,-2965,-31076
302,-2488,-31116
303,-2010,-31152
304,-1532,-31180
305,-1054,-31198
306,-574,-31212
307,-96,-31216
308,382,-31214
309,862,-31205
310,1340,-31189
311,1818,-31164
312,2296,-31132
313,2774,-31093
314,3250,-31048
315,3726,-30994
316,4201,-30932
317,4674,-30864
318,5148,-30790
319,5620,-30707
320,6090,-30618
321,6558,-30520
322,7026,-30416
323,7492,-30304
324,7956,-30186
325,8418,-30060
326,8877,-29928
327,9336,-29788
328,9792,-29640
329,10245,-29488
330,10696,-29327
331,11144,-29160
332,11592,-28984
333,12034,-28804
334,12474,-28616
335,12912,-28421
336,13347,-28220
337,13778,-28012
338,14206,-27796
339,14630,-27575
340,15052,-27348
341,15470,-27114
342,15884,-26874
343,16294,-26627
344,16700,-26374
345,17104,-26114
346,17502,-25849
347,17897,-25578
348,18286,-25300
349,18673,-25018
350,19054,-24728
351,19431,-24432
352,19804,-24130
353,20170,-23825
354,20534,-23512
355,20893,-23196
356,21246,-22871
357,21594,-22542
358,21937,-22208
359,22276,-21870
360,22608,-21525
361,22935,-21176
362,23258,-20822
363,23576,-20462
